No,Komentar,Label Awal,Label Pakar,Pasal Dominan,Catatan,Unnamed: 6,clean_comment,Kode Label,Komentar_preprocessed,jumlah_kata,Kategori_Panjang
313.0,"Saya suka podcast Akbar Faisal.....cerdas, pertanyaannya berkualitas....kami dengar nta jayak sedang kuliah...sukses selalu pak Akbar Faisal....semoga panjang umur  spy lebih banyak berkarya",Konten ofensif,Netral atau tidak terindikasi,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar berisi dukungan, informasi, pertanyaan, atau tanggapan biasa mengenai isi komentar. Tidak terdapat tuduhan perbuatan yang menyerang nama baik individu maupun hasutan kebencian berbasis identitas.
",,"saya suka podcast akbar faisal.....cerdas, pertanyaannya berkualitas....kami dengar nta jayak sedang kuliah...sukses selalu pak akbar faisal....semoga panjang umur spy lebih banyak berkarya",C0,"saya suka podcast akbar faisal.....cerdas, pertanyaannya berkualitas....kami dengar nta jayak sedang kuliah...sukses selalu pak akbar faisal....semoga panjang umur spy lebih banyak berkarya",22,>20 kata
6973.0,"Semoga ALLAH Subhana wa ta'ala menyelamatkan Indonesia dr niat busuk sekelompok yg hendak memecahbelah persatuan n kerukunan rakyat n semoga Presiden Joko Widodo di beri kekuatan n semoga Presiden Joko Widodo sll dlm perlindungan ALLAH dr segala kejahatan fitnah propaganda keji dr para pendzolimnya , org2 jahat yg gila hendak Berkuasa . Aamiin aamiin aamiin yaa rabbal ala'amiin",Konten ofensif,Netral atau tidak terindikasi,,Doa agar Indonesia dan Jokowi dilindungi dari fitnah.,,"semoga allah subhana wa ta'ala menyelamatkan indonesia dr niat busuk sekelompok yg hendak memecahbelah persatuan n kerukunan rakyat n semoga presiden joko widodo di beri kekuatan n semoga presiden joko widodo sll dlm perlindungan allah dr segala kejahatan fitnah propaganda keji dr para pendzolimnya , org2 jahat yg gila hendak berkuasa . aamiin aamiin aamiin yaa rabbal ala'amiin",C0,"semoga allah subhana wa ta'ala menyelamatkan indonesia dr niat busuk sekelompok yg hendak memecahbelah persatuan n kerukunan rakyat n semoga presiden joko widodo di beri kekuatan n semoga presiden joko widodo sll dlm perlindungan allah dr segala kejahatan fitnah propaganda keji dr para pendzolimnya , org2 jahat yg gila hendak berkuasa . aamiin aamiin aamiin yaa rabbal ala'amiin",58,>20 kata
2045.0,"Mangkin enak yakin bro , gua GK benci Jokowi tapi liat partainya jangan buta bro jalan tol di bangun emang lu punya mobil ? Bayar lagi",Konten ofensif,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 28 Ayat (2) UU ITE,"meskipun pilihan katanya cukup tajam, fokus utamanya masih pada kritik terhadap tindakan atau kebijakan, bukan pada penghinaan terhadap individu atau kelompok.",,"mangkin enak yakin bro , gua gk benci jokowi tapi liat partainya jangan buta bro jalan tol di bangun emang lu punya mobil ? bayar lagi",C3,"mangkin enak yakin bro , gua gk benci jokowi tapi liat partainya jangan buta bro jalan tol di bangun emang lu punya mobil ? bayar lagi",26,>20 kata
435.0," @saljogja  mereka ga paham itu dan terus didoktrin dengan adanya janji janji serta BLT dll..menurutku ini penghinaan dan menjijikkan !!
Makanya Projo itu masih kuat dan orang orangnya ga punya prinsip!! Nalarnya udah pada sakit !gw sebgai pendukung Buruh dan Oposisi paham itu kok. Betapa menjijikkannya negara ini kalo sudah paham cara kerja negaranya dan SDM nya.",Netral atau tidak terindikasi,Konten ofensif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar menggunakan bahasa kasar atau merendahkan terhadap isi komentar. Bahasa ofensif saja tidak cukup untuk Pasal 27A tanpa tuduhan perbuatan tertentu, dan tidak cukup untuk Pasal 28 ayat (2) tanpa hasutan berbasis identitas.
",,@saljogja mereka ga paham itu dan terus didoktrin dengan adanya janji janji serta blt dll..menurutku ini penghinaan dan menjijikkan !! makanya projo itu masih kuat dan orang orangnya ga punya prinsip!! nalarnya udah pada sakit !gw sebgai pendukung buruh dan oposisi paham itu kok. betapa menjijikkannya negara ini kalo sudah paham cara kerja negaranya dan sdm nya.,C2,@saljogja mereka ga paham itu dan terus didoktrin dengan adanya janji janji serta blt dll..menurutku ini penghinaan dan menjijikkan !! makanya projo itu masih kuat dan orang orangnya ga punya prinsip!! nalarnya udah pada sakit !gw sebgai pendukung buruh dan oposisi paham itu kok. betapa menjijikkannya negara ini kalo sudah paham cara kerja negaranya dan sdm nya.,57,>20 kata
794.0,​ @yuyusanjarrusman1079  yg survei Hantu Yadah 😂,Netral atau tidak terindikasi,Konten ofensif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar menggunakan bahasa kasar atau merendahkan terhadap isi komentar. Bahasa ofensif saja tidak cukup untuk Pasal 27A tanpa tuduhan perbuatan tertentu, dan tidak cukup untuk Pasal 28 ayat (2) tanpa hasutan berbasis identitas.
",,​ @yuyusanjarrusman1079 yg survei hantu yadah 😂,C2,​ @yuyusanjarrusman1079 yg survei hantu yadah 😂,7,6–10 kata
4497.0,"betul kalau terkait komunis itu sangat berbahaya, bahkan saya juga pernah seorang dosen mungkin di ex komunis juga mengurangi pelajaran terkait wawasan kebangsaan, apalagi dengan TNI salah satu pilar penting dan seharusnya memang wajib seorang tni bisa renang, karena saya juga pernah tes dan menurut saya tidak ada alasan mau rumah nya jauh dari alat renang lucu kalau tni gk bisa renang",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"pernyataan ini tidak sekadar kritik, karena ada unsur serangan terhadap pribadi seseorang yang menjadi sasaran langsung komentar",,"betul kalau terkait komunis itu sangat berbahaya, bahkan saya juga pernah seorang dosen mungkin di ex komunis juga mengurangi pelajaran terkait wawasan kebangsaan, apalagi dengan tni salah satu pilar penting dan seharusnya memang wajib seorang tni bisa renang, karena saya juga pernah tes dan menurut saya tidak ada alasan mau rumah nya jauh dari alat renang lucu kalau tni gk bisa renang",C3,"betul kalau terkait komunis itu sangat berbahaya, bahkan saya juga pernah seorang dosen mungkin di ex komunis juga mengurangi pelajaran terkait wawasan kebangsaan, apalagi dengan tni salah satu pilar penting dan seharusnya memang wajib seorang tni bisa renang, karena saya juga pernah tes dan menurut saya tidak ada alasan mau rumah nya jauh dari alat renang lucu kalau tni gk bisa renang",62,>20 kata
792.0,Hadirrr,Netral atau tidak terindikasi,Netral atau tidak terindikasi,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar berisi dukungan, informasi, pertanyaan, atau tanggapan biasa mengenai isi komentar. Tidak terdapat tuduhan perbuatan yang menyerang nama baik individu maupun hasutan kebencian berbasis identitas.
",,hadirrr,C0,hadirrr,1,1–5 kata
7634.0,"ih geramnyo 
DPR Jelek",Kritik atau opini negatif,Konten ofensif,,Menghina DPR.,,ih geramnyo dpr jelek,C2,ih geramnyo dpr jelek,4,1–5 kata
645.0,​ @queenyoi buzzerp cik,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Konten ofensif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar menggunakan bahasa kasar atau merendahkan terhadap isi komentar. Bahasa ofensif saja tidak cukup untuk Pasal 27A tanpa tuduhan perbuatan tertentu, dan tidak cukup untuk Pasal 28 ayat (2) tanpa hasutan berbasis identitas.
",,​ @queenyoi buzzerp cik,C2,​ @queenyoi buzzerp cik,4,1–5 kata
3238.0,"Plongoh jadikan pemimpin bangsa ini negara bisa hancur,,, masih banyak calon pemimpin yg berkualitas,,,",Kritik atau opini negatif,Kritik atau opini negatif,,"komentar bernada menyindir atau kecewa, namun masih berada dalam ruang opini dan kritik sehingga belum memenuhi indikator penghinaan",,"plongoh jadikan pemimpin bangsa ini negara bisa hancur,,, masih banyak calon pemimpin yg berkualitas,,,",C1,"plongoh jadikan pemimpin bangsa ini negara bisa hancur,,, masih banyak calon pemimpin yg berkualitas,,,",14,11–20 kata
154.0,Gagal fokus sama boneka jatoh,Kritik atau opini negatif,Ambigu atau konteks tidak cukup,,"Belum dapat ditentukan—konteks tidak cukup. Teks terlalu singkat atau berupa potongan respons, sehingga pihak yang dituju dan peristiwa yang dimaksud tidak dapat dipastikan. Tanpa konteks percakapan atau video, unsur Pasal 27A dan Pasal 28 ayat (2) belum dapat dinilai.

",,gagal fokus sama boneka jatoh,C4,gagal fokus sama boneka jatoh,5,1–5 kata
6282.0," @Obah_Mangan  istilah belajar itu digunakan untuk proses menjadi tahu. kalau dalam kasus seperi yang dibahas ferry ini kecil kemungkinannya para jaksa tidak tahu perbuatan mana yang melanggar hukum dan mana yang tidak.
perbuatan yang dilakukan jaksa tersebut bukan hanya terjadi karena ketidaktahuan, tapi bisa jadi karena niat.",Ambigu atau konteks tidak cukup,Kritik atau opini negatif,,Kritik terhadap tindakan aparat hukum,,"@obah_mangan istilah belajar itu digunakan untuk proses menjadi tahu. kalau dalam kasus seperi yang dibahas ferry ini kecil kemungkinannya para jaksa tidak tahu perbuatan mana yang melanggar hukum dan mana yang tidak. perbuatan yang dilakukan jaksa tersebut bukan hanya terjadi karena ketidaktahuan, tapi bisa jadi karena niat.",C1,"@obah_mangan istilah belajar itu digunakan untuk proses menjadi tahu. kalau dalam kasus seperi yang dibahas ferry ini kecil kemungkinannya para jaksa tidak tahu perbuatan mana yang melanggar hukum dan mana yang tidak. perbuatan yang dilakukan jaksa tersebut bukan hanya terjadi karena ketidaktahuan, tapi bisa jadi karena niat.",47,>20 kata
3979.0,Itu nmnya gak ngertii mknya diem gk komen,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,"komentar ini terlalu singkat atau tidak spesifik untuk memastikan apakah ada unsur penghinaan, ofensif, atau sekadar opini",,itu nmnya gak ngertii mknya diem gk komen,C4,itu nmnya gak ngertii mknya diem gk komen,8,6–10 kata
3783.0,"Mungkin itu cara nya pak tedi, ya semoga indonesia lebih baik, merdeka 🇮🇩🇮🇩🇮🇩🇮🇩",Ambigu atau konteks tidak cukup,Netral atau tidak terindikasi,,"komentar ini tidak menunjukkan penghinaan, kebencian, atau serangan yang cukup jelas; isinya lebih berupa pernyataan biasa atau pendapat umum",,"mungkin itu cara nya pak tedi, ya semoga indonesia lebih baik, merdeka 🇮🇩🇮🇩🇮🇩🇮🇩",C0,"mungkin itu cara nya pak tedi, ya semoga indonesia lebih baik, merdeka 🇮🇩🇮🇩🇮🇩🇮🇩",13,11–20 kata
6632.0,emang bajingan tuh Jokowi...banyak usaha yg bangkrut saar jaman Jokowi,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"Menyebut Jokowi ""bajingan"".",,emang bajingan tuh jokowi...banyak usaha yg bangkrut saar jaman jokowi,C3,emang bajingan tuh jokowi...banyak usaha yg bangkrut saar jaman jokowi,10,6–10 kata
1129.0,"YG MERUSAK ASUHARTO, BAKRIE CS DAN SIBEYE KORUPTOR BESAR BESARAN🤣🤣",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,,,,"yg merusak asuharto, bakrie cs dan sibeye koruptor besar besaran🤣🤣",C3,"yg merusak asuharto, bakrie cs dan sibeye koruptor besar besaran🤣🤣",10,6–10 kata
1861.0,Sy rakyat kecil cuma penge harga kebutuhan pokok sepert sembako minyak goreng dll BBM itu murah harga bisa turun sy sebagai rakyat biasa malu kalo selalu dpt bantuan BLT dr pemerintah sedang pemerintah sendiri banyak utangnya tolong pak presiden turunkan harga rakyat kecil biar tdk menderita 🙏,Konten ofensif,Netral atau tidak terindikasi,,,,sy rakyat kecil cuma penge harga kebutuhan pokok sepert sembako minyak goreng dll bbm itu murah harga bisa turun sy sebagai rakyat biasa malu kalo selalu dpt bantuan blt dr pemerintah sedang pemerintah sendiri banyak utangnya tolong pak presiden turunkan harga rakyat kecil biar tdk menderita 🙏,C0,sy rakyat kecil cuma penge harga kebutuhan pokok sepert sembako minyak goreng dll bbm itu murah harga bisa turun sy sebagai rakyat biasa malu kalo selalu dpt bantuan blt dr pemerintah sedang pemerintah sendiri banyak utangnya tolong pak presiden turunkan harga rakyat kecil biar tdk menderita 🙏,47,>20 kata
2958.0,"Gak jelas,yg kmu maksud itu siapa, terus kata2 laknat kok mirip ustad gila,atau jgn2 kamu muridnya,pantes",Konten ofensif,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"serangan dalam komentar berpusat pada individu, termasuk reputasi atau kehormatannya, sehingga lebih tepat dicatat sebagai indikasi penghinaan personal",,"gak jelas,yg kmu maksud itu siapa, terus kata2 laknat kok mirip ustad gila,atau jgn2 kamu muridnya,pantes",C3,"gak jelas,yg kmu maksud itu siapa, terus kata2 laknat kok mirip ustad gila,atau jgn2 kamu muridnya,pantes",16,11–20 kata
6106.0,Masih ada yaa presiden di atur2 oleh partai,Konten ofensif,Kritik atau opini negatif,,Kritik terhadap presiden yang dianggap diatur oleh partai.,,masih ada yaa presiden di atur2 oleh partai,C1,masih ada yaa presiden di atur2 oleh partai,8,6–10 kata
6185.0,Jangan berpikir prabowo dipengaruhi atau ditipu penasihatnya. Prabowo pribadilah yg memutuskan kegilaan ini dgn sombongnya.,Konten ofensif,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"Menyebut keputusan Prabowo sebagai ""kegilaan"".",,jangan berpikir prabowo dipengaruhi atau ditipu penasihatnya. prabowo pribadilah yg memutuskan kegilaan ini dgn sombongnya.,C3,jangan berpikir prabowo dipengaruhi atau ditipu penasihatnya. prabowo pribadilah yg memutuskan kegilaan ini dgn sombongnya.,15,11–20 kata
5608.0,Bagus pak JK biar termul ga semakin sombong,Netral atau tidak terindikasi,Konten ofensif,,Kritik agar seseorang tidak semakin sombong,,bagus pak jk biar termul ga semakin sombong,C2,bagus pak jk biar termul ga semakin sombong,8,6–10 kata
5156.0,"@RadiDika-g5l  gue udah tau bakal begini bre, dari awal gue dukung pak Anies Baswedan, gue cuma mau nonton lagi aja buat mastiin omongan pak Prabowo dan penilaian pak Anies teryata sesuai sama nilai nya pak Anies",Konten ofensif,Netral atau tidak terindikasi,,Dukungan kepada Anies.,,"@radidika-g5l gue udah tau bakal begini bre, dari awal gue dukung pak anies baswedan, gue cuma mau nonton lagi aja buat mastiin omongan pak prabowo dan penilaian pak anies teryata sesuai sama nilai nya pak anies",C0,"@radidika-g5l gue udah tau bakal begini bre, dari awal gue dukung pak anies baswedan, gue cuma mau nonton lagi aja buat mastiin omongan pak prabowo dan penilaian pak anies teryata sesuai sama nilai nya pak anies",36,>20 kata
3894.0,Dia calon jenderal kalau dipensiunkan mana bisa jadi jenderal.,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,"komentar berpotensi memiliki makna tertentu, tetapi bukti konteks yang tersedia belum cukup untuk menentukan label secara tegas",,dia calon jenderal kalau dipensiunkan mana bisa jadi jenderal.,C4,dia calon jenderal kalau dipensiunkan mana bisa jadi jenderal.,9,6–10 kata
4911.0,Itulah mantan mentri yg suka maling PANCI,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"komentar mengarah pada perendahan atau serangan terhadap orang tertentu, sehingga fokusnya bersifat personal dan relevan dengan Pasal 27A UU No. 1 Tahun 2024",,itulah mantan mentri yg suka maling panci,C3,itulah mantan mentri yg suka maling panci,7,6–10 kata
7828.0," @wibunagara  anggap aja isu PKI bangkit itu gak ada. Hanya isu buat bangsa ribut.

Boleh juga ada yg anggap isu gerombolan padang pasir, radikal radikul, khilafah, adalah bualan juga yg dibikin buat bangsa ini ribut mulu.

Jgn hanya sorot yg satu lalu tiadakan yg lain. Mrk ada di kedua sisi keseimbangan bangsa ini, ekstrem kiri dan ekstrem kanan. Tetaplah seimbang. Jgn condong ke ke kiri jgn condong ke kanan. Tetaplah di tengah..",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Netral atau tidak terindikasi,,Opini penyeimbang isu.,,"@wibunagara anggap aja isu pki bangkit itu gak ada. hanya isu buat bangsa ribut. boleh juga ada yg anggap isu gerombolan padang pasir, radikal radikul, khilafah, adalah bualan juga yg dibikin buat bangsa ini ribut mulu. jgn hanya sorot yg satu lalu tiadakan yg lain. mrk ada di kedua sisi keseimbangan bangsa ini, ekstrem kiri dan ekstrem kanan. tetaplah seimbang. jgn condong ke ke kiri jgn condong ke kanan. tetaplah di tengah..",C0,"@wibunagara anggap aja isu pki bangkit itu gak ada. hanya isu buat bangsa ribut. boleh juga ada yg anggap isu gerombolan padang pasir, radikal radikul, khilafah, adalah bualan juga yg dibikin buat bangsa ini ribut mulu. jgn hanya sorot yg satu lalu tiadakan yg lain. mrk ada di kedua sisi keseimbangan bangsa ini, ekstrem kiri dan ekstrem kanan. tetaplah seimbang. jgn condong ke ke kiri jgn condong ke kanan. tetaplah di tengah..",72,>20 kata
393.0,Pejabat Indonesia kedengarannya amatiran semua.Yg jadi antek² asing sebenarnya siapa.Kok kayak maling teriak maling. Kok gampang sekali dikadalin sama Amerika?,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Konten ofensif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Frasa “maling” merupakan ejekan atau kata yang merendahkan dalam pembahasan tentang isi komentar. Namun, komentar tidak menuduhkan perbuatan tertentu yang dapat diuji kepada individu tertentu, dan tidak menghasut kebencian berbasis identitas. Karena itu, tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2).
",,pejabat indonesia kedengarannya amatiran semua.yg jadi antek² asing sebenarnya siapa.kok kayak maling teriak maling. kok gampang sekali dikadalin sama amerika?,C2,pejabat indonesia kedengarannya amatiran semua.yg jadi antek² asing sebenarnya siapa.kok kayak maling teriak maling. kok gampang sekali dikadalin sama amerika?,20,11–20 kata
4842.0,Ow ini ketua PARTAI SAYA....,Konten ofensif,Konten ofensif,,"ada penggunaan kata yang kasar atau tidak sopan, namun serangannya belum jelas mengarah pada kehormatan individu atau identitas kelompok tertentu",,ow ini ketua partai saya....,C2,ow ini ketua partai saya....,5,1–5 kata
4153.0,"Selain Bung, Roky Gerung,.. Pembicara yg lain hanya mewakili Keperluan & Kepentingan Partai & Bisnis Nya saja.. Alias Omong kosong Mrk itu.. Salut dg Bung R G.. 👍👌👍👍",Konten ofensif,Konten ofensif,,"ungkapan dalam komentar cukup ofensif, tetapi sasaran dan konteksnya tidak memenuhi indikator Pasal 27A atau Pasal 28 Ayat (2)",,"selain bung, roky gerung,.. pembicara yg lain hanya mewakili keperluan & kepentingan partai & bisnis nya saja.. alias omong kosong mrk itu.. salut dg bung r g.. 👍👌👍👍",C2,"selain bung, roky gerung,.. pembicara yg lain hanya mewakili keperluan & kepentingan partai & bisnis nya saja.. alias omong kosong mrk itu.. salut dg bung r g.. 👍👌👍👍",28,>20 kata
4246.0,"Pak Aulia, mahkota mu sedang ku ukir sebaik mungkin",Konten ofensif,Konten ofensif,,"bahasa yang digunakan cenderung kasar, tetapi tidak ditemukan serangan yang cukup jelas terhadap individu tertentu atau kelompok berdasarkan identitas",,"pak aulia, mahkota mu sedang ku ukir sebaik mungkin",C2,"pak aulia, mahkota mu sedang ku ukir sebaik mungkin",9,6–10 kata
2944.0,Bukan masalah baik dan jahat. Negara ini kekurangan orang pintar. Justru negara carut marut karna banyaknya orang2 tolol yg yg berkuasa,Konten ofensif,Konten ofensif,,"komentar menggunakan bahasa yang kurang pantas dan bernada merendahkan, namun konteksnya belum menunjukkan unsur penghinaan yang relevan secara hukum",,bukan masalah baik dan jahat. negara ini kekurangan orang pintar. justru negara carut marut karna banyaknya orang2 tolol yg yg berkuasa,C2,bukan masalah baik dan jahat. negara ini kekurangan orang pintar. justru negara carut marut karna banyaknya orang2 tolol yg yg berkuasa,21,>20 kata
970.0,Presiden Prabowo di kasih saran yang trbaik malah ngeyel  malah melindungi Koruptor.,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Kritik atau opini negatif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Pernyataan bahwa Prabowo “melindungi koruptor” merupakan kritik politik yang luas dan tidak menjelaskan tindakan perlindungan tertentu. Secara restriktif, komentar ini belum memenuhi unsur tuduhan suatu perbuatan dalam Pasal 27A.
",,presiden prabowo di kasih saran yang trbaik malah ngeyel malah melindungi koruptor.,C1,presiden prabowo di kasih saran yang trbaik malah ngeyel malah melindungi koruptor.,12,11–20 kata
6894.0,"Senang sama PKS dulu karna pa Fahri Hamzah,karna beliau intelektual yg wow bagi saya, sekarang PKS hanya partai seperti yg lain, 
Beda dengan PKS dulu yg selalu pilah pilah kader yang intelektual, sekarang mah pks hemmmm 😑😑",Konten ofensif,Kritik atau opini negatif,,Kritik terhadap perubahan kualitas PKS.,,"senang sama pks dulu karna pa fahri hamzah,karna beliau intelektual yg wow bagi saya, sekarang pks hanya partai seperti yg lain, beda dengan pks dulu yg selalu pilah pilah kader yang intelektual, sekarang mah pks hemmmm 😑😑",C1,"senang sama pks dulu karna pa fahri hamzah,karna beliau intelektual yg wow bagi saya, sekarang pks hanya partai seperti yg lain, beda dengan pks dulu yg selalu pilah pilah kader yang intelektual, sekarang mah pks hemmmm 😑😑",37,>20 kata
6207.0,Haha JIM kan partainya sendiri yg KKN yg punya PSI JOKOWI sendiri sekarang udh di kembalikan oleh giring ke ASLINYA dan GIRING sekarang balek dukung ANIS,Konten ofensif,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,Tuduhan terkait KKN terhadap individu/partai tertentu,,haha jim kan partainya sendiri yg kkn yg punya psi jokowi sendiri sekarang udh di kembalikan oleh giring ke aslinya dan giring sekarang balek dukung anis,C3,haha jim kan partainya sendiri yg kkn yg punya psi jokowi sendiri sekarang udh di kembalikan oleh giring ke aslinya dan giring sekarang balek dukung anis,26,>20 kata
5246.0,"Selama dipimpin Prabowo 
Lebih parah rakyat menderita menjerit  rakyat bertambah miskin pengangguran di mana 2 seluruh Indonesia",Kritik atau opini negatif,Kritik atau opini negatif,,Kritik terhadap kepemimpinan Prabowo.,,selama dipimpin prabowo lebih parah rakyat menderita menjerit rakyat bertambah miskin pengangguran di mana 2 seluruh indonesia,C1,selama dipimpin prabowo lebih parah rakyat menderita menjerit rakyat bertambah miskin pengangguran di mana 2 seluruh indonesia,17,11–20 kata
2217.0,"Pantesan bapak gk pernah pantau ig sekalipun kali ya, padahal banyak yg ngetag beliau",Netral atau tidak terindikasi,Ambigu atau konteks tidak cukup,,"isi komentar menunjukkan adanya generalisasi atau pelabelan yang merendahkan terhadap kelompok berdasarkan identitas tertentu, sehingga relevan ditinjau dari Pasal 28 Ayat (2). karena sasaran yang diserang merupakan kelompok berdasarkan identitas tertentu.",,"pantesan bapak gk pernah pantau ig sekalipun kali ya, padahal banyak yg ngetag beliau",C4,"pantesan bapak gk pernah pantau ig sekalipun kali ya, padahal banyak yg ngetag beliau",14,11–20 kata
,"Helehh Damanik, 70% ndas mu HAHAHA",Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,Data tambahan kelas C4 berdasarkan karakteristik komentar ambigu,,"helehh damanik, 70% ndas mu hahaha",C4,"helehh damanik, 70% ndas mu hahaha",6,6–10 kata
