No,Komentar,Label Awal,Label Pakar,Pasal Dominan,Catatan,Unnamed: 6,Kode Label,jumlah_kata,jumlah_karakter,clean_comment,Komentar_clean,Komentar_preprocessed
,Kirim k3 ISRA3L 😂,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,Data tambahan kelas C4 berdasarkan karakteristik komentar ambigu,,C4,,,kirim k3 isra3l 😂,kirim k3 isra3l 😂,kirim k3 isra3l 😂
1730.0,"Logikanya aja, mantan napi udah ngerasain gimana di penjara dan menimbulkan efek jera. Jadi kemungkinan untuk korupsi lagi kecil",Ambigu atau konteks tidak cukup,Kritik atau opini negatif,,,,C1,19.0,128.0,"logikanya aja, mantan napi udah ngerasain gimana di penjara dan menimbulkan efek jera. jadi kemungkinan untuk korupsi lagi kecil","logikanya aja, mantan napi udah ngerasain gimana di penjara dan menimbulkan efek jera. jadi kemungkinan untuk korupsi lagi kecil","logikanya aja, mantan napi sudah merasakan bagaimana di penjara dan menimbulkan efek jera. jadi kemungkinan untuk korupsi lagi kecil"
5647.0,"😂😂😂 coba upload video bekas panggilannya, upload dichanel mu aja, pasti banyak yg bela ko kalau bener",Konten ofensif,Netral atau tidak terindikasi,,Ajakan mengunggah bukti video,,C0,17.0,101.0,"😂😂😂 coba upload video bekas panggilannya, upload dichanel mu aja, pasti banyak yg bela ko kalau bener","😂 coba upload video bekas panggilannya, upload dichanel mu aja, pasti banyak yg bela ko kalau bener","😂 coba upload video bekas panggilannya, upload dichanel mu aja, pasti banyak yang bela kok kalau benar"
7622.0,"Sok pintar,,tapi TDK terpakai...??😂😂😂",Konten ofensif,Netral atau tidak terindikasi,,Menghina kemampuan seseorang.,,C0,4.0,37.0,"sok pintar,,tapi tdk terpakai...??😂😂😂","sok pintar,,tapi tdk terpakai.??😂","sok pintar,,tapi tidak terpakai.??😂"
2692.0,Lobih baik pilih sama pak Anis Baswedan..dari pada Ganjar sangat berbahaya seluruh daerah pertambangan akan di kuasai oleh negara China..kalau TDK percaya siapa yg taruhan dgn sy.aku tunggu.,Konten ofensif,Netral atau tidak terindikasi,,"meskipun ada penilaian atau ekspresi pribadi, tidak ditemukan serangan yang cukup kuat untuk masuk kategori penghinaan atau kebencian",,C0,28.0,190.0,lobih baik pilih sama pak anis baswedan..dari pada ganjar sangat berbahaya seluruh daerah pertambangan akan di kuasai oleh negara china..kalau tdk percaya siapa yg taruhan dgn sy.aku tunggu.,lobih baik pilih sama pak anis baswedan..dari pada ganjar sangat berbahaya seluruh daerah pertambangan akan di kuasai oleh negara china..kalau tdk percaya siapa yg taruhan dgn sy.aku tunggu.,lobih baik pilih sama pak anis baswedan..dari pada ganjar sangat berbahaya seluruh daerah pertambangan akan di kuasai oleh negara china..kalau tidak percaya siapa yang taruhan dengan sy.aku tunggu.
7155.0,Anehnya termul kok tidak mbalelo,Kritik atau opini negatif,Kritik atau opini negatif,,Sindiran terhadap seseorang yang dianggap tidak membangkang.,,C1,5.0,32.0,anehnya termul kok tidak mbalelo,anehnya termul kok tidak mbalelo,anehnya termul kok tidak mbalelo
2777.0,"Kecebong hadirlah... Awal capres maruf amin di pilih setelah capres selesai maruf amin di ganti..  Nah maksudnyaa maruf amin jadi wapres itu apaa??? Kok belum selesai waktu jabatannyaa udh di ganti,  apa cuman syarat ajaa biar jkw di pilih karnaa wakilnyaa kiyai",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,,"pernyataan ini tidak sepenuhnya berupa kritik biasa karena terdapat nada merendahkan, meski dasar pasal yang paling tepat masih belum dapat dipastikan",,C3,42.0,262.0,"kecebong hadirlah... awal capres maruf amin di pilih setelah capres selesai maruf amin di ganti.. nah maksudnyaa maruf amin jadi wapres itu apaa??? kok belum selesai waktu jabatannyaa udh di ganti, apa cuman syarat ajaa biar jkw di pilih karnaa wakilnyaa kiyai","kecebong hadirlah. awal capres maruf amin di pilih setelah capres selesai maruf amin di ganti.. nah maksudnyaa maruf amin jadi wapres itu apaa? kok belum selesai waktu jabatannyaa udh di ganti, apa cuman syarat ajaa biar jkw di pilih karnaa wakilnyaa kiyai","kecebong hadirlah. awal capres maruf amin di pilih setelah capres selesai maruf amin di ganti.. nah maksudnyaa maruf amin jadi wapres itu apaa? kok belum selesai waktu jabatannyaa sudah di ganti, apa hanya syarat saja biar jkw di pilih karnaa wakilnyaa kiyai"
6003.0,org yg akan hancur sendiri ya org macam ini.. 🤣,Kritik atau opini negatif,Konten ofensif,,Merendahkan individu secara umum.,,C2,10.0,47.0,org yg akan hancur sendiri ya org macam ini.. 🤣,org yg akan hancur sendiri ya org macam ini.. 🤣,orang yang akan hancur sendiri ya orang macam ini.. 🤣
1295.0,Jkw Sengsarakan rakyat . Pribumi digusur demi investor Cina,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Netral atau tidak terindikasi,,,,C0,9.0,59.0,jkw sengsarakan rakyat . pribumi digusur demi investor cina,jkw sengsarakan rakyat . pribumi digusur demi investor cina,jkw sengsarakan rakyat . pribumi digusur demi investor cina
5915.0,"​ @sakaperdana6527 gak jelas, orang ini siapa maksudnya, si Jokowi atau pak Zulkifli?",Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,Tidak jelas individu yang dimaksud.,,C4,13.0,85.0,"​ @sakaperdana6527 gak jelas, orang ini siapa maksudnya, si jokowi atau pak zulkifli?","​ gak jelas, orang ini siapa maksudnya, si jokowi atau pak zulkifli?","​ tidak jelas, orang ini siapa maksudnya, si jokowi atau pak zulkifli?"
11.0, @ridhobaihaqi144  pantau di daerah rumah anda siapa tau ada kang bakso 🤣kekekekekeg,Netral atau tidak terindikasi,Ambigu atau konteks tidak cukup,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Belum dapat ditentukan—konteks tidak cukup. Komentar mengandung dugaan, sindiran, atau rujukan mengenai isi komentar, tetapi sasaran individu atau peristiwa yang dimaksud tidak cukup jelas dari teks saja. Konteks video, utas percakapan, dan identitas pihak yang dituju diperlukan sebelum menentukan pasal.
",,C4,12.0,84.0,@ridhobaihaqi144 pantau di daerah rumah anda siapa tau ada kang bakso 🤣kekekekekeg,pantau di daerah rumah anda siapa tau ada kang bakso 🤣kekekekekeg,pantau di daerah rumah anda siapa tahu ada kang bakso 🤣kekekekekeg
2997.0,​ @adisupriadi3662 yang ada orang ketakutan dan insecure kalau ahok naik dan tanpa kompromi sikat koruptor ataupun orang yang mind-setnya korup,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,ungkapan yang digunakan sudah melewati batas kritik biasa karena merendahkan orang tertentu secara langsung,,C3,21.0,143.0,​ @adisupriadi3662 yang ada orang ketakutan dan insecure kalau ahok naik dan tanpa kompromi sikat koruptor ataupun orang yang mind-setnya korup,​ yang ada orang ketakutan dan insecure kalau ahok naik dan tanpa kompromi sikat koruptor ataupun orang yang mind-setnya korup,​ yang ada orang ketakutan dan insecure kalau ahok naik dan tanpa kompromi sikat koruptor ataupun orang yang mind-setnya korup
599.0,"Tapi beroperasi persis warung. Gagal bisa jadi beban desa. Tidak gagal bisa perang dengan UMKM (warung"" masyarakat). Dua-duanya tidak baik.",Kritik atau opini negatif,Kritik atau opini negatif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar berisi kritik atau opini negatif mengenai isi komentar. Tidak ada individu tertentu yang dituduh melakukan perbuatan konkret dan tidak ada hasutan kebencian berbasis identitas, sehingga tidak terindikasi kedua pasal.
",,C1,20.0,139.0,"tapi beroperasi persis warung. gagal bisa jadi beban desa. tidak gagal bisa perang dengan umkm (warung"" masyarakat). dua-duanya tidak baik.","tapi beroperasi persis warung. gagal bisa jadi beban desa. tidak gagal bisa perang dengan umkm (warung"" masyarakat). dua-duanya tidak baik.","tetapi beroperasi persis warung. gagal bisa jadi beban desa. tidak gagal bisa perang dengan umkm (warung"" masyarakat). dua-duanya tidak baik."
3851.0,Pres Prabowo itu di cintai rakyat ; cuman sayang  ; Kab. ; kapolri ; pet k P k ; Hakim ; Jaksa ; Ter  pej yg berada di lembaga Trias P masih sama. Cuman Pres aja yg ganti ; yg lebih parah Wapres nya Gibran yg nabrak konstitusi SANDUNGAN NYA BANYAK BANGET.,Konten ofensif,Konten ofensif,,"komentar ini lebih tepat dimasukkan sebagai konten ofensif karena bahasanya menyerang, tetapi belum terlihat unsur kebencian atau penghinaan yang spesifik",,C2,52.0,255.0,pres prabowo itu di cintai rakyat ; cuman sayang ; kab. ; kapolri ; pet k p k ; hakim ; jaksa ; ter pej yg berada di lembaga trias p masih sama. cuman pres aja yg ganti ; yg lebih parah wapres nya gibran yg nabrak konstitusi sandungan nya banyak banget.,pres prabowo itu di cintai rakyat ; cuman sayang ; kab. ; kapolri ; pet k p k ; hakim ; jaksa ; ter pej yg berada di lembaga trias p masih sama. cuman pres aja yg ganti ; yg lebih parah wapres nya gibran yg nabrak konstitusi sandungan nya banyak banget.,pres prabowo itu di cintai rakyat ; hanya sayang ; kab. ; kapolri ; pet kak p kak ; hakim ; jaksa ; ter pej yang berada di lembaga trias p masih sama. hanya pres saja yang ganti ; yang lebih parah wapres nya gibran yang nabrak konstitusi sandungan nya banyak banget.
3648.0,bigai itu gak ngerti tapi ngotot luucuu,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,"kalimatnya dapat ditafsirkan lebih dari satu cara, sehingga belum cukup dasar untuk menetapkan adanya penghinaan atau kebencian",,C4,7.0,39.0,bigai itu gak ngerti tapi ngotot luucuu,bigai itu gak ngerti tapi ngotot luucuu,bigai itu tidak mengerti tetapi ngotot luucuu
6508.0,"Bennix mana kamu. kamu memang kurang ajar. kalau negara orang sebok kau menghina. Bila negara kamu, kamu menghilangkan diri. Memang kurang ajar kamu.",Konten ofensif,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"Menyebut seseorang ""kurang ajar"".",,C3,23.0,149.0,"bennix mana kamu. kamu memang kurang ajar. kalau negara orang sebok kau menghina. bila negara kamu, kamu menghilangkan diri. memang kurang ajar kamu.","bennix mana kamu. kamu memang kurang ajar. kalau negara orang sebok kau menghina. bila negara kamu, kamu menghilangkan diri. memang kurang ajar kamu.","bennix mana kamu. kamu memang kurang ajar. kalau negara orang sebok kamu menghina. bila negara kamu, kamu menghilangkan diri. memang kurang ajar kamu."
4097.0,Tahun momentum psi untuk jadi partai besar .   Tinggal bagaimNa psi  memNgfaatkan momentum ini bisa atau tidak ...jadi tergantung pada pengurus psi itu sendiri  bisa atau bisa .,Konten ofensif,Konten ofensif,,"ungkapan dalam komentar cukup ofensif, tetapi sasaran dan konteksnya tidak memenuhi indikator Pasal 27A atau Pasal 28 Ayat (2)",,C2,28.0,177.0,tahun momentum psi untuk jadi partai besar . tinggal bagaimna psi memngfaatkan momentum ini bisa atau tidak ...jadi tergantung pada pengurus psi itu sendiri bisa atau bisa .,tahun momentum psi untuk jadi partai besar . tinggal bagaimna psi memngfaatkan momentum ini bisa atau tidak .jadi tergantung pada pengurus psi itu sendiri bisa atau bisa .,tahun momentum psi untuk jadi partai besar . tinggal bagaimana psi memngfaatkan momentum ini bisa atau tidak .jadi tergantung pada pengurus psi itu sendiri bisa atau bisa .
6512.0,"Perlu hati hati mencerna statement politik, pagi sore beda",Netral atau tidak terindikasi,Netral atau tidak terindikasi,,Imbauan berhati-hati terhadap pernyataan politik.,,C0,9.0,58.0,"perlu hati hati mencerna statement politik, pagi sore beda","perlu hati hati mencerna statement politik, pagi sore beda","perlu hati hati mencerna statement politik, pagi sore beda"
5215.0,Cara narik nya itu loh,Netral atau tidak terindikasi,Netral atau tidak terindikasi,,Komentar singkat tanpa muatan negatif yang jelas.,,C0,5.0,22.0,cara narik nya itu loh,cara narik nya itu loh,cara menarik nya itu loh
1829.0,Di Indonesia ini cuma perlu di legal kan kepemilikan senjata untuk umum. Biar bisa dibereskan sendiri mafia2 oligarki spt ini,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Netral atau tidak terindikasi,,,,C0,20.0,125.0,di indonesia ini cuma perlu di legal kan kepemilikan senjata untuk umum. biar bisa dibereskan sendiri mafia2 oligarki spt ini,di indonesia ini cuma perlu di legal kan kepemilikan senjata untuk umum. biar bisa dibereskan sendiri mafia2 oligarki spt ini,di indonesia ini cuma perlu di legal kan kepemilikan senjata untuk umum. biar bisa dibereskan sendiri mafia2 oligarki seperti ini
1269.0,"SETUJU Mas Bro 👍

Saatnya Anak Muda dan Nasionalis Berjiwa Muda duduk di Legislatif DPR

Mari KITA DUKUNG dan SATUKAN SUARA untuk PSI agar bisa masuk ke DPR tahun 2024 nanti. DEMI TERWUJUDNYA Pemberantasan Korupsi, Pengesahan UU Perampasan Aset para Koruptor, Indonesia Maju dan Sejahtera

SALAM SOLIDARITAS manula 60 tahun BERJIWA MUDA di Jakarta",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Konten ofensif,,,,C2,54.0,347.0,"setuju mas bro 👍 saatnya anak muda dan nasionalis berjiwa muda duduk di legislatif dpr mari kita dukung dan satukan suara untuk psi agar bisa masuk ke dpr tahun 2024 nanti. demi terwujudnya pemberantasan korupsi, pengesahan uu perampasan aset para koruptor, indonesia maju dan sejahtera salam solidaritas manula 60 tahun berjiwa muda di jakarta","setuju mas bro 👍 saatnya anak muda dan nasionalis berjiwa muda duduk di legislatif dpr mari kita dukung dan satukan suara untuk psi agar bisa masuk ke dpr tahun 2024 nanti. demi terwujudnya pemberantasan korupsi, pengesahan uu perampasan aset para koruptor, indonesia maju dan sejahtera salam solidaritas manula 60 tahun berjiwa muda di jakarta","setuju mas bro 👍 saatnya anak muda dan nasionalis berjiwa muda duduk di legislatif dpr mari kita dukung dan satukan suara untuk psi agar bisa masuk ke dpr tahun 2024 nanti. demi terwujudnya pemberantasan korupsi, pengesahan uu perampasan aset para koruptor, indonesia maju dan sejahtera salam solidaritas manula 60 tahun berjiwa muda di jakarta"
2462.0,Ni gagal faham juga ni..,Kritik atau opini negatif,Ambigu atau konteks tidak cukup,,"komentar berpotensi memiliki makna tertentu, tetapi bukti konteks yang tersedia belum cukup untuk menentukan label secara tegas",,C4,5.0,24.0,ni gagal faham juga ni..,ni gagal faham juga ni..,ini gagal paham juga ni..
7208.0,Nah skrng kalau si anis menang ucapannya bakalan 100% juga gk?,Netral atau tidak terindikasi,Kritik atau opini negatif,,Keraguan terhadap konsistensi Anies.,,C1,11.0,62.0,nah skrng kalau si anis menang ucapannya bakalan 100% juga gk?,nah skrng kalau si anis menang ucapannya bakalan 100% juga gk?,nah sekarang kalau si anis menang ucapannya akan 100% juga gk?
4444.0,"OOOOOOO BEGITU LA KIRA KIRA MENURUT PRAKONTOL,, NYURI UANG NEGARA BOLEH BOLEH AJA ASALKAN JANGAN TRILIUNAN,,",Konten ofensif,Konten ofensif,,"nada penyampaiannya cukup keras dan berpotensi menyinggung, tetapi belum ada dasar yang cukup untuk menyebutnya sebagai penghinaan atau ujaran kebencian",,C2,16.0,108.0,"ooooooo begitu la kira kira menurut prakontol,, nyuri uang negara boleh boleh aja asalkan jangan triliunan,,","o begitu la kira kira menurut prakontol,, nyuri uang negara boleh boleh aja asalkan jangan triliunan,,","o begitu lah kira kira menurut prakontol,, nyuri uang negara boleh boleh saja asalkan jangan triliunan,,"
4642.0,"Yg d ganti itu posisi Maruf dan Mahfud yg d bpip.  Krn kosong.  
Jadi minta pak Jokowi tunjuk penggantinya. Krn yg ada di bpip itu org2 yg d tunjuk oleh Jokowi.
Jadi ibu Mega GK mungkin nunjuk org untuk gantikan dua posisi yg kosong tsb. Makanya mintanya ke pak Jokowi.",Ambigu atau konteks tidak cukup,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"isi komentar menunjukkan penilaian yang merendahkan terhadap individu tertentu, bukan sekadar membahas kebijakan atau kinerjanya",,C3,50.0,269.0,yg d ganti itu posisi maruf dan mahfud yg d bpip. krn kosong. jadi minta pak jokowi tunjuk penggantinya. krn yg ada di bpip itu org2 yg d tunjuk oleh jokowi. jadi ibu mega gk mungkin nunjuk org untuk gantikan dua posisi yg kosong tsb. makanya mintanya ke pak jokowi.,yg d ganti itu posisi maruf dan mahfud yg d bpip. krn kosong. jadi minta pak jokowi tunjuk penggantinya. krn yg ada di bpip itu org2 yg d tunjuk oleh jokowi. jadi ibu mega gk mungkin nunjuk org untuk gantikan dua posisi yg kosong tsb. makanya mintanya ke pak jokowi.,yang ada ganti itu posisi maruf dan mahfud yang ada bpip. karena kosong. jadi meminta pak jokowi tunjuk penggantinya. karena yang ada di bpip itu orang-orang yang ada tunjuk oleh jokowi. jadi ibu mega tidak mungkin nunjuk orang untuk gantikan dua posisi yang kosong tsb. makanya mintanya ke pak jokowi.
4865.0,"ya allah kenapa bisa jadi rakyat indo nyeseknya sampai anak cucu, nagis banget ya allah",Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,"ada kemungkinan komentar ini merupakan sindiran atau serangan, tetapi konteks yang tersedia belum mendukung kesimpulan tersebut",,C4,15.0,87.0,"ya allah kenapa bisa jadi rakyat indo nyeseknya sampai anak cucu, nagis banget ya allah","ya allah kenapa bisa jadi rakyat indo nyeseknya sampai anak cucu, nagis banget ya allah","ya allah kenapa bisa jadi rakyat indonesia nyeseknya sampai anak cucu, nagis sekali ya allah"
3235.0,"@hadistnabiku  yoi Dia Aja Anak AKBP, jadi bukan anak biasa-biasa aja, Bapaknya dia punya Power, jadi ini cuma kasus Polisi Gigit Polisi ga penting lah sampe harus di bahas di DPR, ini cuma masalah Bapaknya AKBP punya anak Bermasalah sakit kejiwaan tp maksain Bisa lolos masuk Polisi, kalau ga ada bantuan bapaknya ga mungkin ini anak keterima 😂",Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,"komentar ini terlalu singkat atau tidak spesifik untuk memastikan apakah ada unsur penghinaan, ofensif, atau sekadar opini",,C4,58.0,345.0,"@hadistnabiku yoi dia aja anak akbp, jadi bukan anak biasa-biasa aja, bapaknya dia punya power, jadi ini cuma kasus polisi gigit polisi ga penting lah sampe harus di bahas di dpr, ini cuma masalah bapaknya akbp punya anak bermasalah sakit kejiwaan tp maksain bisa lolos masuk polisi, kalau ga ada bantuan bapaknya ga mungkin ini anak keterima 😂","yoi dia aja anak akbp, jadi bukan anak biasa-biasa aja, bapaknya dia punya power, jadi ini cuma kasus polisi gigit polisi ga penting lah sampe harus di bahas di dpr, ini cuma masalah bapaknya akbp punya anak bermasalah sakit kejiwaan tp maksain bisa lolos masuk polisi, kalau ga ada bantuan bapaknya ga mungkin ini anak keterima 😂","yoi dia saja anak akbp, jadi bukan anak biasa-biasa aja, bapaknya dia punya power, jadi ini cuma kasus polisi gigit polisi tidak penting lah sampai harus di bahas di dpr, ini cuma masalah bapaknya akbp punya anak bermasalah sakit kejiwaan tetapi memaksakan bisa lolos masuk polisi, kalau tidak ada bantuan bapaknya tidak mungkin ini anak keterima 😂"
2847.0,"Di tempat saya di Balikpapan, salah satu pangkalan gas 3 kg, antri seperti biasa tapi setelah semuanya bubar berseling beberapa jam kemudian ada datang seorang bapak bapak dengan memakai motor, dan pas dia pulang bapak tersebut sudah membawa tabung gas 3 kg yg ada isinya mungkin kurang lebih 10 tabung, mungkin saja si yg punya pangkalan menjualnya dengan harga yang lebih",Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,makna komentar belum bisa dipastikan tanpa mengetahui konteks percakapan atau sasaran yang dimaksud,,C4,61.0,373.0,"di tempat saya di balikpapan, salah satu pangkalan gas 3 kg, antri seperti biasa tapi setelah semuanya bubar berseling beberapa jam kemudian ada datang seorang bapak bapak dengan memakai motor, dan pas dia pulang bapak tersebut sudah membawa tabung gas 3 kg yg ada isinya mungkin kurang lebih 10 tabung, mungkin saja si yg punya pangkalan menjualnya dengan harga yang lebih","di tempat saya di balikpapan, salah satu pangkalan gas 3 kg, antri seperti biasa tapi setelah semuanya bubar berseling beberapa jam kemudian ada datang seorang bapak bapak dengan memakai motor, dan pas dia pulang bapak tersebut sudah membawa tabung gas 3 kg yg ada isinya mungkin kurang lebih 10 tabung, mungkin saja si yg punya pangkalan menjualnya dengan harga yang lebih","di tempat saya di balikpapan, salah satu pangkalan gas 3 kg, antri seperti biasa tetapi setelah semuanya bubar berseling beberapa jam kemudian ada datang seorang bapak bapak dengan memakai motor, dan pas dia pulang bapak tersebut sudah membawa tabung gas 3 kg yang ada isinya mungkin kurang lebih 10 tabung, mungkin saja si yang punya pangkalan menjualnya dengan harga yang lebih"
4807.0,Alhamdulillah gua GK salah pilih .. dan gua bangga GK milih Prabowo,Netral atau tidak terindikasi,Netral atau tidak terindikasi,,"komentar ini tidak menunjukkan penghinaan, kebencian, atau serangan yang cukup jelas; isinya lebih berupa pernyataan biasa atau pendapat umum",,C0,12.0,67.0,alhamdulillah gua gk salah pilih .. dan gua bangga gk milih prabowo,alhamdulillah gua gk salah pilih .. dan gua bangga gk milih prabowo,alhamdulillah saya tidak salah pilih .. dan saya bangga tidak memilih prabowo
4953.0,"Lengkap sdh bobroknya rezim ini,   hutang berjibun, koruptor leluasa, pengangguran luar biasa, harga beras naik luar biasa, tunggulah pengadilan luar biasa setelah mati",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Konten ofensif,,"ungkapan dalam komentar cukup ofensif, tetapi sasaran dan konteksnya tidak memenuhi indikator Pasal 27A atau Pasal 28 Ayat (2)",,C2,23.0,168.0,"lengkap sdh bobroknya rezim ini, hutang berjibun, koruptor leluasa, pengangguran luar biasa, harga beras naik luar biasa, tunggulah pengadilan luar biasa setelah mati","lengkap sdh bobroknya rezim ini, hutang berjibun, koruptor leluasa, pengangguran luar biasa, harga beras naik luar biasa, tunggulah pengadilan luar biasa setelah mati","lengkap sudah bobroknya rezim ini, hutang berjibun, koruptor leluasa, pengangguran luar biasa, harga beras naik luar biasa, tunggulah pengadilan luar biasa setelah mati"
3271.0,"Aku sangat setuju hukuman mati dan perampasan aset untuk koruptor, dalam dari rakyat kecil.",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Konten ofensif,,"pilihan katanya terasa kasar atau menyerang, tetapi belum cukup kuat untuk dikategorikan sebagai penghinaan terhadap individu atau kebencian berbasis identitas",,C2,14.0,91.0,"aku sangat setuju hukuman mati dan perampasan aset untuk koruptor, dalam dari rakyat kecil.","aku sangat setuju hukuman mati dan perampasan aset untuk koruptor, dalam dari rakyat kecil.","saya sangat setuju hukuman mati dan perampasan aset untuk koruptor, dalam dari rakyat kecil."
468.0,Aneh triakan nta sing aseng lah yg keliling dunia trus nemuin smua presiden di smua nagara kan dia sendri.. Kok mlh membalikan Pakta..?? Br bberapa hari ini duduk bareng jabat tangan sm si bule donal trum.. Piye sih pikun ya.. Blunder..,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Konten ofensif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar menyebut unsur identitas dalam pembahasan tentang isi komentar, tetapi tidak berisi hasutan, ajakan, atau upaya memengaruhi orang lain untuk membenci kelompok tersebut dan tidak terlihat risiko nyata diskriminasi, permusuhan, atau kekerasan. Karena itu, Pasal 28 ayat (2) tidak terindikasi. Bahasa yang dipakai tetap dapat dinilai ofensif, tetapi belum memenuhi kedua pasal yang diuji.
",,C2,41.0,236.0,aneh triakan nta sing aseng lah yg keliling dunia trus nemuin smua presiden di smua nagara kan dia sendri.. kok mlh membalikan pakta..?? br bberapa hari ini duduk bareng jabat tangan sm si bule donal trum.. piye sih pikun ya.. blunder..,aneh triakan nta sing aseng lah yg keliling dunia trus nemuin smua presiden di smua nagara kan dia sendri.. kok mlh membalikan pakta..?? br bberapa hari ini duduk bareng jabat tangan sm si bule donal trum.. piye sih pikun ya.. blunder..,aneh triakan nta sing aseng lah yang keliling dunia terus menemukan semua presiden di semua nagara kan dia sendri.. kok malah membalikan pakta..?? baru bberapa hari ini duduk bareng jabat tangan sama si bule donal trum.. piye sih pikun ya.. blunder..
422.0,😊aku sakud dg ktbhan hti Nanda  yg tbh wlupun byak hlangan dan rintangan yg menghalanginya namun nada sllu merima. Dg santai dan senyum smin,Konten ofensif,Netral atau tidak terindikasi,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar berisi dukungan, informasi, pertanyaan, atau tanggapan biasa mengenai isi komentar. Tidak terdapat tuduhan perbuatan yang menyerang nama baik individu maupun hasutan kebencian berbasis identitas.
",,C0,24.0,140.0,😊aku sakud dg ktbhan hti nanda yg tbh wlupun byak hlangan dan rintangan yg menghalanginya namun nada sllu merima. dg santai dan senyum smin,😊aku sakud dg ktbhan hti nanda yg tbh wlupun byak hlangan dan rintangan yg menghalanginya namun nada sllu merima. dg santai dan senyum smin,😊aku sakud dengan ktbhan hati nanda yang tbh wlupun banyak hlangan dan rintangan yang menghalanginya namun nada selalu merima. dengan santai dan senyum smin
280.0,"Kalimatnya sangat2 keras ""Mahluk dari neraka yg dikirim untuk merusak Indonesia"" mahluk itu sekarang masih hidup lho .....",Kritik atau opini negatif,Konten ofensif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2).Komentar menggunakan bahasa kasar atau merendahkan terhadap isi komentar. Bahasa ofensif saja tidak cukup untuk Pasal 27A tanpa tuduhan perbuatan tertentu, dan tidak cukup untuk Pasal 28 ayat (2) tanpa hasutan berbasis identitas.

",,C2,18.0,122.0,"kalimatnya sangat2 keras ""mahluk dari neraka yg dikirim untuk merusak indonesia"" mahluk itu sekarang masih hidup lho .....","kalimatnya sangat2 keras ""mahluk dari neraka yg dikirim untuk merusak indonesia"" mahluk itu sekarang masih hidup lho .","kalimatnya sangat-sangat keras ""mahluk dari neraka yang dikirim untuk merusak indonesia"" mahluk itu sekarang masih hidup lho ."
2177.0,Melawan para pengkhianat bangsa dan kaum  munafik itulah yang paling sulit ..,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Ambigu atau konteks tidak cukup,,konteks komentar masih terlalu terbatas untuk memastikan siapa sasaran pernyataan dan apakah maksudnya benar-benar merupakan penghinaan atau kebencian.,,C4,12.0,77.0,melawan para pengkhianat bangsa dan kaum munafik itulah yang paling sulit ..,melawan para pengkhianat bangsa dan kaum munafik itulah yang paling sulit ..,melawan para pengkhianat bangsa dan kaum munafik itulah yang paling sulit ..
