Komentar_preprocessed,Kode Label,label
"bang akbar.sbg masyarakat awam, terus terang saya sangat sedih dan auto lieur melihat hasil survey dări 4 (empat) lembaga survey tsb, baik litbang kompas, lsj, proximity apalagi asi, terhadap masuknya salah 1 (satu) nama dari 6 (enam) nama yang terpilih sebagai kandidat gubernur dki tsb..?!! dengan tanpa memasukkan unsur gender dan sara maka, saya & maybe juga masyarakat pada umumnya ingin bertanya kepada bang akbar, yang kita kenal sebagai sosok politikus senior & seorang pengamat politik yang tajam di negara konoha ini, sebab : 1. apa kualifikasi & requirement untuk bisa dicalonkan sebagai seorang gubernur..?? 2. sampai sejauh mana arti, makna, pengaruh dan dampak rekam jejak para kandidat cagub dki jakarta tersebut terhadap konstalasi politik, sosial dan budaya, khususnya di dki jakarta dan di konoha pada umumnya ..?? 3. sejatinya saya agak sesalkan, seharusnya sebelum bang akbar showing 4 (empat) hasil survey tersebut kepada btp, menurut keyakinan gw.kok saya pikir cukup bijaksana jika bang akbar dengan segala kerendahan hati berkenan untuk meng-konfirmasi kembali kepada ke-4 (empat) lembaga survey tersebut bahwa, bagaimana mungkin bisa memasukkan sosok / figur makhluk yang faktanya, kecoak bunting di seluruh dunia juga sudah tahu bahwa, berdasarkan catatan sejarah pemilu dan pilkada, momen yang dinilai paling sarat dengan intolerasi ise sara sudah terbukti telah pernah mempunyai ""prestasi"" yang berhasil membelah masyarakat dki jakarta khususnya dan bahkan konoha pada umumnya dalam peristiwa pilkada dki jakarta tahun 2017 yang ""sukses"" menciptakan polarisasi ekstrem yang membagi mayarakat menjadi kubu berbasis identitas agama ( keterangan : hasil penjualan ayat dan mayat) yang kemudian ""berhasil"" menghantarkan sang makhluk tersebut menduduki jabatan sebagai dki-1, sejak 16 okt 2017 s/d 16 okt 2022 dengan hasil segudang ""prestasi"" sehingga alhasil dengan sangat menyesal google telah ""sukses"" terpaksa menobatkan beliaunya menjadi gubernur terbodoh di dunia..!! dan tragisnya lagi, dari hasil survey juga sudah pernah membuktikan bhw, politisasi sara yang penuh dengan ujaran kebencian itu juga meningkat drastis dalam pemilu dan pilpres 2019. melalui komentar saya sebagai masyarakat awam yang sangat-sangat dangkal & mencintai nkri ini, saya berharap bang akbar mampu menjadi penyambung lidah kepada lembaga-lembaga survey tsb, agar lebih mampu menggunakan akal budi & hati nurani serta logika berpikir sehat untuk menentukan responden dalam menentukan sosok / figur kandidat kepala daerah apalagi seorang presiden.karena bentuk nkri ini atas seijin & kehendak tuhan allah swt, sampai hari kiamat pada hakekatnya tidak pernah dan tidak akan pernah bisa menafikkan keberagaman.!! 😔😪😔😪😔😪😔😪😔😪",C2,2
"pertanyaan ini sebenarnya menjebak pak prabowo. pak jokowi tahu dan paham kalau ada uu yang membolehkan pencalonan mantan koruptor sebagai caleg, tetapi disini pak jokowi berusaha menanyakan itu untuk mengetahui respon dari pak probowo (karena pak probowo mengatakan korupsi indonesia sudah stadium 4) tetapi kok tetap mencalonkan yang mantan koruptor. dan terjadilah, pak probowo lagi-lagi grasa grusu menjawabnya sampai saat jawaban pertama pak probowo malah mengira pak jokowi menuduh partai yang dipimpin oleh pak probowo ada yang korupsi, padahal pak jokowi menanyakan tentang mantan koruptor yang dicalonkan jadi caleg. dan dijawaban kedua setelah mengerti maksud pak jokowi, lagi-lagi pak prabowo melakukan blunder dengan mengatakan 'korupsinya tidak seberapa'. ya dari sini bisa dibilang pak probowo jujur dan konsisten akan sikap beliau yang selalu grasa grusu. seharusnya pertanyaan ini dengan gampang di-counter oleh pak probowo dengan tidak menambahkan kata-kata 'korupsinya tidak seberapa'. cuma berkomentar, tidak berpihak pada siapapun. terimakasih.",C2,2
kok lebih pintar bapak yang protes ini ya.😊,C0,0
11:22 pigai setuju setuju helehh nelan malu ya 😂,C0,0
untuk politisi dan penguasa saja bukan pengusaha bung. karena jika anda dan saya mengelola tambang juga disebut pengusaha. atau mungkin maksud anda pengusaha besar yang dekat dengan penguasa😊,C0,0
"buzzer bicara gini, tetapi buka pendaftaran polisi ,ribuan yang daftar. fakta di lapangan.",C2,2
haha jim kan partainya sendiri yang kkn yang punya psi jokowi sendiri sekarang sudah di kembalikan oleh giring ke aslinya dan giring sekarang balek dukung anis,C3,3
"tolong dong warga jakarta jika memilih gubernur jangan lihat agamanya tetapi krejujuran dan bisa kerja juga pintar. jangan otak kadrun dipakai, nanti tidak maju2 otaknya. hukum di indonesia kacau balau dan bejat. hukum tebang pilih dan tajam ke minoritas. ada yang tidak suka omongan gue..?? bodo amat, memang saya pikirin..!",C2,2
mereka yakin dengan statementny. tidak ada yang plin tat plin tut. parah sekali otak luhh ya,C2,2
"mas bima ,ayo maju terus ajak tokoh2 yang masih peduli dengan bangsa indonesia. maju terus mas demi rakyat indonesia. gagalkan perjanjian dagang dan bop !",C0,0
perlukah dpr bagi rakyat,C4,4
"manusia seperti inilah yang tak mendapat tempat di akhirat, orang yang tak percaya dengan hari akhir, maka tak ada tempat bagi nya!.",C2,2
"daya rusak satu orang ini luar biasa, bisa2 benar hancur ini negara, cuma bisa berdoa semoga allah melindungi rakyat indonesia dari kezoliman pemimpin ini",C3,3
"satu jam isinya fitnanh semua, makin selamatlah jokowi karena dosanya sedang dihapuskan oleh roy suryo. termaksih roy",C3,3
buh coba tanya yohanes dana hibah yang di peruntukkan istrinya sendiri setelah berkuasa di jakarta. buhj maling bicara korupsi,C2,2
"​ pejuang kebenaran&keadilan berjuang melawan ke zdholiman&ke bathilan&pengkhianat rakyat,negara&bangsa nya sendiri demi kekuasaan sesat yang sesaat tahta&harta haram jaddah",C3,3
pak roy masih trah pakualaman jogjakarta trah yang paling dekat,C0,0
"jadi ingat prabowo pernah mengeluhkan soal banyak berkurangnya pemasukan selama dia berada diluar kekuasaan. apakah sekarang mumpung sudah berada didalamnya? memnag sejak awal, agak aneh yang dipikirkan prabowo cuma mbg terus, bahkan saat menjawab perang dagang.",C1,1
kalau dasar hukummu adalah prasangka. tidak usah bikin negara. pejabat juga korup. daripada korup tidak usah ada pejabat sekalian. ngawur.,C1,1
bubarkan dpr percuma hanya aspirasi partai bukan aspirasi rakyat enggak ngepek ke rakyat apa yang sudah dpr lakukan,C2,2
"memang menyuarakan kebenaran tetapi kebenarana yang dikasih tempo memecah belah dan membuat kepercayaan sipil menurun , kalau resesi gr gr media media pengkhianat begini apa tidak kasihan sama anak istri dirumah pegawai tempo😢, eh lupa sudah makan duit haram ya karyawan tempo hehe😅",C2,2
buzzer pigai banyak sangat ternyata dulu😢,C2,2
gibran + kdm sudah pasti kumpul,C4,4
betul sangat tuh biar tidak kurang ajar!,C4,4
rakyat bukan kucing roke coba kamu mencalun di pilih tidak mungkin tidak,C4,4
"yang aneh itu memang pak prabowo ,kenapa selalu nurut tuduk patuh dan selalu mengikuti percaya apa yang di bisikkan mereka",C1,1
rakyat indonesia termasuk kamu kann..ngku sendiri kalau loee tukang bakar2.km maling jujurr..h,C3,3
lah mereka satu tim 😂,C0,0
pak bahlil memang real.. keren.. mantap buat dukung 02 makin yakin.,C0,0
presenternya masuk dalam kelompok kepentingan 03😁😁 mantan caleg yang gagal juga kan?,C1,1
tidak usah kasihan sama partai. kasihan sama rakyat jelata saja.,C1,1
oon kamu 😂,C4,4
roy ini setress orang usaha kok digibahin,C2,2
"jika dipikir pikir sistem pendidikan di singapura ini, cocok diterapkan di indonesia, karena bisa memberi ruang kepada anak-anak yang berprestasi akademiknya bisa kuliah lebih cepat, dan bisa memungkinkan kerja lebih cepat, tidak habis umurnya menjalani sekolah ""secondary school""",C0,0
"​ menjabat sebagai gubernur dki jakarta (2017–2022), anies baswedan mencatatkan sejumlah prestasi menonjol, terutama di bidang infrastruktur dan transportasi, seperti pembangunan jakarta international stadium (jis), revitalisasi taman ismail marzuki (tim), serta integrasi transportasi melalui jaklingko. ia juga fokus pada penataan ruang kota, revitalisasi trotoar, penyelenggaraan formula e, serta meraih opini wtp 5 kali berturut-turut.berikut adalah rincian prestasi anies baswedan selama memimpin jakarta berdasarkan rekam jejak yang dilaporkan:infrastruktur & landmark kota:jakarta international stadium (jis): pembangunan stadion berstandar fifa dengan atap buka-tutup.revitalisasi taman ismail marzuki (tim): mempermodern pusat kesenian jakarta.revitalisasi kota tua & tebet eco park: mengubah kawasan menjadi lebih estetik dan ramah lingkungan.jpo kekinian: membangun dan merombak jembatan penyeberangan orang (jpo) menjadi estetis (seperti jpo sudirman).transportasi publik & integrasi:jaklingko: sistem integrasi transportasi publik (angkot, transjakarta, mrt) yang mencakup manajemen, rute, dan pembayaran.pembangunan jalur sepeda: penambahan signifikan jalur sepeda untuk mendukung mobilitas mikro.revitalisasi halte transjakarta: salah satunya halte bundaran hi.sosial, kesehatan, & tata kelola:jaminan kesehatan nasional (jkn): mencapai cakupan 98,54% warga jakarta dan subsidi premi.opini wtp (wajar tanpa pengecualian): meraih opini wtp dari bapak selama 5 tahun berturut-turut.penataan kampung susun: pembangunan hunian vertikal bagi warga.penutupan alexis: pencabutan izin usaha hotel alexis sebagai komitmen penertiban tempat usaha.ajang internasional:formula e 2022: berhasil menyelenggarakan balap mobil listrik internasional pertama di jakarta.sebagai informasi tambahan, berbagai inisiatif selama masa kepemimpinannya juga difokuskan pada transformasi digital kota melalui aplikasi jakarta kini (jaki).1mdaftar 10 prestasi anies baswedan selama jadi gubernur dki jakartayoutube·suaradotcom",C0,0
"insya allah bunda, amin sama dong, saya juga setelah mendengarkan pidato perdananya ketum kaesang di kopdarnas, langsung jatuh hati pada psi. mari kita dukung dan satukan suara untuk psi agar bisa masuk ke dpr tahun 2024 nanti. demi terwujudnya pemberantasan korupsi, pengesahan uu perampasan aset para koruptor, indonesia maju dan sejahtera salam solidaritas manula 60 tahun berjiwa muda di jakarta",C3,3
"saya lagi menunggu comment buzzer ""saras eh soros"" kazian grand-grandfather soros 😅. doi sudah pensi dan segala urusan perusahaanya sudah diserah ke anaknya alex soros. yang masih aktif itu ya warren buffet, dan trump yang masih aktif 😅 (diduga terlibat langsung dalam krisis asia)",C2,2
megawati: kalah ya😅kasihan deh kamu,C0,0
prabowo mungkin jago di urusan militer tetapi dia kurang di bidang ilmu pemerintahan,C1,1
obrolan lintas dimensi,C4,4
"cendol lima ons memang pengkhianat bangsa, hidup disini, tetapi jelek2in cuih",C3,3
"saatnya anak-anak muda dan nasionalis berjiwa muda duduk di legislatif dpr mari kita dukung dan satukan suara untuk psi agar bisa masuk ke dpr tahun 2024 nanti. demi terwujudnya pemberantasan korupsi, pengesahan uu perampasan aset para koruptor, indonesia maju dan sejahtera salam solidaritas",C0,0
bukan begitu pak cara nya turun dulu ke lapangan oplosan yang di pangkas bukan pengecer yang di larang do yang puluhan yang di pangkas,C0,0
sombong sekali lama-lama mirip orang gila hormat,C2,2
suruh maju kok tujuannya demi partainya.bukan karena rakyat.duh gustyy,C1,1
"kalaupun ke tangkap koruptor masih aman, karena ada oknum hakim yang bisa di stel bebas",C3,3
hoax,C4,4
"makanya kita sebagai masyarakat bawah lain kali cerdas memilih pemimpin juga wakil kita. di pusat maupun daerah, beginilah jadinya kacau balau",C1,1
terus suarakan ibu ina liem semoga hukum di indonesia lebih adil tidak pandang bulu kalau orang tidak bersalah harus di hukum kriminal sekali,C1,1
"boikot partainya,kalau begitu",C4,4
7,C4,4
kalau pk ganjaer bakal petugas partai jilid 2,C2,2
"yang bela jokowi oke yang bela jika ya monggo. yang jelas yang punya nama yang sudah ada kredibelitas di masyarakat, siapa sih yang tidak melek ! ingat, semua baik jika dan parpol mana mungkin mengajukan nama yang tidak populer untuk presiden, emnk ada partai dan seseorang yang mau rugi? 😅 yang jelas pk jokowi sudah punya nama dan kredibilitas dimata masyarakat, mangkanya banyak dilirik termasuk jika & parpol. baru dibikin programnya tetapi yang kerja kan semua termasuk jokowi jadi tidak bisa klaim sepihak 😂",C0,0
beda sekali sama almarhum 😌,C0,0
52:50 waduhh. sudah cocok jadi capres abadi.,C0,0
​ yoi maka nya waktu masa jokowi koruptor aman sekarang masa nya pak prabowo koruptor di tangkepin😂,C3,3
"setuju, benerinnya sudah susah, yang pinter-pinter diluar sudah makin tidak mau pulang, siapa yang mau dikriminalisasi.",C0,0
project bancakan para koruptor😅,C1,1
​ buzzer 100m yang bilang begitu 😂,C2,2
"apapun programnya, yang penting, korupsinya , , ,",C4,4
melawan kebenaran menjadikan kadrun menyedihkan.sakit hati.semua fitnah ditangkis.hidup seperti pelarian.eh.bukan seperti.tapi memang kabur lari.tiada siapapun yang bisa menghalang pilihan allah untuk indonesia.jangan pernah ditangisi.jangan pernah disesali.semua itu suratan yqng kuasa.semoga sadar qada dan qadar.,C3,3
uang rakyat di buat mbayar bisanya cuma joget joget lebih baik di berikan orang gila di pinggir jalan di suruh joget.,C2,2
setelah kejaksaan dibekingi sama si paling dicintai rakyat jadi ugal2an dan sonplak.,C2,2
bongkar koruptor kasus lama dan kasus hangat tanpa padang bulu semua wakil rakyat. rakyat diatas segalanya menuntut perwakilannya.,C1,1
kalau bicara sementara mata ngedip ngedip berarti kedipannya sedang menutupi otaknya yang kosong.,C2,2
"sekarang sudah di penghujung tahun 2025 dan saya ke sini karena bobrok nya pemerintahan sekarang bagaimana bisa orang orang pada masa itu memilih kualitas presiden seperti itu, padahal setelah kita menonton ulang kita tahu mana yang memiliki kualitas dan mana yang hanya asal sebut, omong kosong, bangga tak pernah memilih 02 dan bersyukur saat itu memilih 01",C2,2
"ini pola pikir yang sudah di apiti oleh rasa tidak ouas semata,sampai ada kata kucing istana. inilah letak kedunguan anda. jelas ketahuan yang anda lihat pribadi anak siapa,tapi anda tidak berpikir luas bahwa dia warga negara mana. sipaapun yang mampu dan layak silakan mencalonkan diri jika partai menginginkan.jelas tidak? yang lain ini sama pakar politik tetapi membeo.. saya hanya masyarakat biasa yang terleoas dru jenis dan oikiran politik,sy menilai secara normal,bahwa pakar politik ini sebenarnya mencari argumen yang tepat untuk memojokan yang lain yang tidak disukainya. inilah ciri para pakar politik dalam mencari keuntungan walau itu keliru. anda benar juga,tapi anda tidak menyadari secara normal bahwa anda lupa akan hak pribadi dalam berwarganegara. kalau anda menilai dia anak presiden dan paham logika anda bergeser ke arah negatif itu anda salah.anda bukan pakar politik yang baik. sepanjang pribadi siapapun dia yang sebagai warga negara mempunyai hak untuk apa yang sesuai ketentuan negara ya wajar saja. yang tidak wajar itu pola pikir anda. sehingga berbagai opini anda bangun dan berusaha menggiring opini yang sesuai keinginan anda yang bisa meracuni pikiran normal masyarakat,sehingga ujungnya terjadi kekacauan dalam negara. ini yang host juga keseringan dan berulang seolah pro ke salah satu pilihan.anda jost itu dibayar untuk memfasilitasi debat itu harusnya balance bukan terbawa arus kiri atau kanan.goblok ya.kok stasiun tv ini yang bisa ngehost balance pikirannya sehat memang tidak ada kah?? ini host,andai ada di tahun 65 jelas sudah masuk bagian pemberontak tu. hist juga lihat,dan punya hak menegur lawan bicara yang suka potong pembicaraan yang lainnya. host ini tahu tidak sih tata aturan debat itu sendiri?kasian ya!",C3,3
"jangan bermanuver politik dengan bahasa² dirotasi, dipindahkan, diturunkan karena ahmad sahroni telah sukses membuat dirinya tidak layak jadi wakil rakyat. rakyat mau nya dia di pecat dengan tidak hormat dan tidak berhak punya fasilitas apapun dari negara maupun pemerintah.",C1,1
"​ -wp7in anjir iblis tertawa melihat komentar ini, fitnah sungguh luar biasa ya walaupun kebanyakan pejabat kayak begitu termasuk dpr, tetapi tidak semuanya juga bro😅 kasihan itu yang ikhlas bekerja tetapi kena semprot, ya katakan saja hanya karena beberapa orang terlibat semua orang harus disalahkan ibaratnya kayak begitu aja, mindset idiot kalau orang-orang mikirnya kayak begitu semua. kalau mau hapus dpr hapus saja terserah kalau saya, saya disini tidak mendukung siapapun!",C0,0
"iya.., makanya bung roy.. jangan tidak terima juga kalau sebagian rakyat kecewa terhadap satu daerah tertentu karena pada dasarnya dari konoha merdeka kenapa harus daerah kalian terus yang mendominasi pada hal dari daerah lain juga rakyatnya juga punya hak yang sama di konoha ini apalagi kalau mengaku muslim bukan kah bumi ini kepunya allaah swt kenapa harus daerah tertentu saja merasa paling berkuasa pada hal ketika merebut kemerdekaan seperti sejarah yang disampaikan selain dengan mengangkat takbir artinya ummat muslim ada pejuang satu daerah paling dominan yang gigih dalam mencurahkan segalanya pemikiran, tenaga, harta, darah bahkan nyawa. coba mulailah berpikir cerdas yang waras akal sehat seperti istilah saat ini, ganti lah lagi pemimpin dari daerah lain yang agamanya lurus, cerdas, jujur berintegritas belajarlah dari sejarah 80 tahun sudah dari daerah tertentu itu saja yang terus berkuasa lihat kenyataanya otak dan bermental rakus, serakah mikir diri sendiri dan lingkaran setanya saja yang ada, sehingga hancur, karut marut konoha dan rakyatnya rakyat konoha juga harus mulai sadar dan mikir untuk keselamatan konoha, bangsa dan terutama generasi penerus untuk keselamatan anak cucu selanjutnya agar tidak lagi jadi bangsa dungu apalagi bangsa budak jajahan miskin dan mengemis 😢",C3,3
bodo amat jokowi soal dia dengan ritual nya urusan dia. karena si wowo auwoo badut puppet lebih parah dari pada jkw. menurut saya dia yang paling worst dari semua president indonesia konoha. titik.,C3,3
mengingatkan partainya. ahmad sahroni = nasdem nafa urbach = nasdem eko patrio = kapan uya kuya = kapan,C0,0
"bung selamat ganteng ini betul-betul ""rock"" banget! cadas. teddy cocoknya satpam baca",C4,4
bilangnya mungkin korup nya tidak seberapa,C4,4
"yang jelas jua ulun tahu sangat haji isam ini sukses menjajak orang pribumi di kalsel, sidin ini keturunan makassar, kaina mati haja itu jua biar sugih kypa hidup",C3,3
"pres sukarno sejak awal peperangan telah bertekat untuk memberikan imbalan terhadap pki atas keikutsertaan dalam pertempuran, tetapi sayang setelah proklamasai ternyata banyak juga rakyat yang tidak menghargai jerih payah mereka/pki. perjuangan yang di balas dengan air tuba",C0,0
kerja santai gaji gede..,C2,2
standart penilaian bps itu kacau sangat apalagi yang di lapangan kerja mirip ngasal nanya2 aja. jadi hasil surveynya banyak yang salah,C1,1
resiko punya presiden uzur.,C2,2
serpertinya tidak mungkin itu 😂,C4,4
"rismon memang raja tipu, melakukan manipulasi ijasah jokowi yang di upload dian sandi itu logonya coklat, di edit sama rismon jadi kehitaman sama dengan tulisan sehingga di narasikan tulisan dulu baru logo. itulah cara rismon menipu masyarakat dengan digital maka mudah untuk di manipulasi sendiri di komplain sendiri. andaipun ijasah jokowi di tunjukkan di publik pasti rismon mencapture dijadikan digital terus di manipulasi terus di hakimi palsu.",C3,3
"dasar anis kadrun 😁 dari awalnya sudah saya prediksi,anis tidak akan menang..kenapa tidak, mennag!,si anis bukan orang jowo menurut saya yang lebih pantas dan orang paling tepat memimipin negeri in adalah mmng orang jawa 👍👍",C3,3
sehat selalu bu mega ..anda adalah tokoh negarawan yang hebat .dari dulu anda dijegal namun selalu gagal.dan sampai hari ini pdip tetap menjadi partai pemenang .,C0,0
"sekarang indonesia siapa yang narsis, norak itu yang naik pangkat. yang berprestasi berjuang di perbatasan tidak dapat penghargaan.muak, bikin muak",C4,4
kok bisa kita punya presiden kita mirip begini ya hancur sekali tidak bisa mendengar suara rakyat maunya harus dituruti kacau,C1,1
"kurang bijak sih. terus yang juga keamanan siapa? siskamling? coba kalau bubarkan institusi polisi, alternatifnya apa jangan bermain bubarin saja wei . penjahat makin banyak",C0,0
"jika lembaga dpr tidak mau dikoreksi, dikritik & tidak mau menampung aspirasi rakyat, bahkan sebalik'a mereka ada indikasi sampai menantang/ melawan serta menghina rakyat, kita selaku rakyat yang memegang kedaulatan, kita tidak usah repot repot nanti untuk 5 tahun kedepan dalam pemilu (pileg) tidak usah memilih'a lebih baik abstain !",C0,0
"😂 pada dibayar berapa sih sampai sebegitunya bela tuan mu. hancur nama ugm sama kalian. seharusnya kalian mikir dong, masa sudah jelas asli dan palsu ada bedanya tetapi kok tetap saja dibela. gokil.parah sekali 🙄.",C2,2
waspadalah pada partai komunis sejahtera wahai tni.. kelompok yang menggunakan entitas agama lebih berbahaya dari komunis..,C3,3
"jaman jahiliyyah, yang kuat menindas yang lemah, tetapi gusti allah maha adil, semoga para koruptor segera dapat azab yang lebih pedih, amin allahumma amin,",C1,1
😊,C4,4
"rakyat,buruh,mahasiswa dan seluruh elemen segera bersatu untuk reformasi,tangkap,adili jokowi dan antek2 jangan sampai bangsa indonesia hancur",C1,1
"sehat-sehat ya di malaysia. cintailah nkri, walau pejabatnya banyak yang somplo",C2,2
biang kerok masalah di negara ini adalah partai politik.,C1,1
terus apa gunanya ada paspampres bro,C4,4
33:20 mungkin benar makanya prabowo bicara kalau menteri2nya bagus semua. hahaha,C1,1
sudah muak dengan politikus yang cuma pandai merangkai kata,C0,0
"abraham samad juga tidak becus koq, saat ketua kpk",C3,3
"teddy itu hanya anak anak baru melek, tahu apa dia soal negara",C4,4
"halo saya dari masa depan. saat ini indonesia lagi amburadul di pemerintahan wowo. gelombang demonstran sudah tidak bisa dibendung lagi, banyak penjarahan di rumah pejabat; si sahroni, uya kuya, eko bahkan menterinya si wowo sri mulyani. masih bisa joget oke oke gas tidak kamu wo!",C1,1
masih mau pilih pemimpin yang pemimpinnya tidak percaya hari akhirat. jangan mau pilih wahai soodara muslimku. tanggung jawabnya besar bagi kita nanti dihadaoan allah swt.,C0,0
kecuali pikiran atheis / komunis,C2,2
yang penting pilihanku adem dihati,C0,0
ya kepemimpin hutang.dan pemerintahnya juara koropsi dimana mana pemimpin gagal totol dalam mengatasi koropsi ini fakta,C1,1
berarti kalau malingnya sedikit berarti tidak masalah dong,C3,3
mirisnya bapaklu sama teman dan saudara sudah dianggap koruptor juga kan? makanya miris kalau rakyat juga ikut menuduh rakyat yang tidak bersalah karena korban dikriminalisasi,C1,1
bukan salah desain ini cara lereka berkorupsi ssh tidak peelu sembunyi sembunyi.dia kaya jdp diara 20an pdhlnini sudah era shpee topped toko tok munik wowor hpnya masih pk hp kliring jadi bodoh semuanya🤣,C2,2
komentar bijak dan pintar 👍👍,C4,4
terkadang hal hal terburuk berawak dari niat yang baik.,C0,0
"nah betul, cuma buzzer dan pembelanya memang gampang dibohongi dengan gimmick itu. mereka lupa pas anis baru gubernur aja, dia buat tim gemuk yang sampai puluhan orang dari timsesnya. bayangkan berapa uang yang kebuang? belum lagi proyek pengadaan tidak jelas",C3,3
"termul berarti semakin menyebar, di indonesia kayaknya😅",C2,2
partai politik tanpa jokowi akan miskin. jelas itu😂,C1,1
beliau sudah kafir karena tidak percaya dengan hal gaib (syurga dan neraka) yang mana itu adalah salah satu dari rukun iman,C3,3
rakyat sudah capai dan tidak berharap dengan gaya kepemimpinan sekarang dan sebelum nya. orang bodoh sok pintar dan mungkin pintar tetapi sombong dan arogan. mungkin nkri harus melalui situasi ini. semoga 2029 ada yang lebih baik.,C2,2
auto menonton kalau bung fahri hamzah ❤,C0,0
junjungan mu ngemis investasi dari kadrun. 😂,C3,3
tidak mungkin kita dapat pemimpin yang adil selama pakai sistim dajjal demokrasi. yang pasti mendapat pemimpin yang dzolim. rakus,C4,4
jangan sampai jempol kita ikut menyebarkan narasi yang belum jelas kebenarannya.,C0,0
"sistem yang efisien, hasil yang maksimal!",C0,0
menurut pengetahuan ku gelar krt untuk keraton yogyakarta itu gelar terhormat. dan dekat dengan kerabat keraton,C0,0
"wkwkwk. yang paling sengit menjegal habibie saat itu : si gusdur & mega, yang pada kebelet ingin berkuasa menggantikan suharto, tetapi terganjal oleh habibie yang secara konstitusi memang harus maju menggantikan suharto yang resign/mundur. para pemuja gusdur sekarang2 pada getol ""cuci tangan-lempar kambing hitam"" ke amin rais sebagai ketua mpr saat itu. amin rais sendiri saat itu justru kawan baik-kolega habibie (sbg sesama pendiri & pengurus icmi). partainya dia (pan) bersama dengan koalisi poros tengah (pks, pbb, pui dll) dan ""kaukus iramasuka"" (irian, maluku, sulawesi, kalimantan) di faksi utusan daerah pimpinan arnold baramuli, saat itu mrpkn pendukung2 habibie di parlemen. hanya saja saat voting, suara pendukung2 habibie tersebut kalah telak oleh perolehan suara koalisi partai2 besar pemenang pemilu (pdip & pkb) plus pdkb dan suara politisi2 golkar & p. nah tuh.",C1,1
kdm ✊,C4,4
"no, anies. kurang tepat dan kurang jelas.",C0,0
amin allohumma aamiin..,C0,0
"innalillahi.innalillahi. ini lah roy panci yang selalu memfitnah dimana mana, hanya karena iri dengki, karena dia bukan siapa2,sedangkan mas gibran adalah wakil presiden nkri untuk 5 tahun. kasihanilah bung roy panci yang punya hati yang hitam. saya usul mas roy untuk langsung mengambil air wudhu dan langsung sholat mohon ampun kepada allah. amin yra.",C3,3
karena ada yang tidak terima karena pak nadiem yang memfasilitasi pengadaan laptop bukan pegawai atau eselon yang lain jadi dia yang bikin kisruh korupsi ini,C4,4
"pasti ada kuasa besar luar dibelakang jokowi.sepatutnya probowo rombak kesemua institusi termasuklah tni dan polri.selagi org² jokowi jadi kepalanya pasti hukum berterusan dijual beli.sedarlah, geopolitik indonesia sangat strategi dan sedang diincar oleh negara asing,jgn sampai nantinya dijajah lagi",C2,2
psi bakal jadi partai besar ini kayaknya kalau kedepannya tetap konsisten dengan apa saja yang sudah greas sampaikan dan perjuangkan..,C2,2
dengan dana 80t apa yang sudah kamu lakukan selama 5 tahun ini untuk mengurangi polusi ? malah jawabannya ngawur😢,C1,1
"dikorut pas rapat ada yang tidur di dor hukum mati ,di jepang kalau dewan merasa gagal bekerja mengundurkan diri, di indonesia dewan tidak tahu malu tidak punya empati meminta dikasih kesempatan lagi..uya uya😂",C2,2
"kamu kadrun tidak bisa nangkap , pikiran bagaimana ngerakit bom buat merusak peradaban",C3,3
"semoga banyak orang orang yang sekruwensi dengan pak zul .maju terus pak zul .betul ibukota indonesia mau di pindah ke kaltim ada udang di balik batu .sudah terbukti anak turunan jokowi masuk ke pemerintahan tertinggi itu strategi jokowi.oh,indonesia sudah rapoh parahnya. semoga orang orang dholim segera di hukum oleh allah sendiri .",C1,1
"insya allah bapak, amin saatnya anak muda dan nasionalis berjiwa muda duduk di legislatif dpr mari kita dukung dan satukan suara untuk psi agar bisa masuk ke dpr tahun 2024 nanti. demi terwujudnya pemberantasan korupsi, pengesahan uu perampasan aset para koruptor, indonesia maju dan sejahtera salam solidaritas manula 60 tahun berjiwa muda di jakarta",C0,0
itu orang tim ekonomi yang menakut nakuti pak prabowo hingga pak prabowo menandatangani perjanjian bop harus ditangkap dan dihukum seberat beratnya karena merugikan negara. itu tim ekonomi pengkhianat bangsa harus ditangkap,C3,3
"oke siap mas bro kita dukung dan satukan suara untuk psi agar bisa masuk ke dpr tahun 2024 nanti. demi terwujudnya pemberantasan korupsi, pengesahan uu perampasan aset para koruptor, indonesia maju dan sejahtera salam solidaritas manula 60 tahun berjiwa muda di jakarta",C2,2
​ naon ari sia mamawa anis.teu menyambung,C2,2
"waww. ijazah palsu jkw & gibran makin terbongkar. upaya dukungan publik dan rakyat serta usaha gigih rrt & team. alternatif. 1) ahy masuk bursa cawapres enak kali ahy ?!! 2) ahy akan diadu dengan puan yang tidak punya kemampuan. kemungkinan besar menang ahy 3) anies, ahy, puan masuk bursa cawapres. namun mas anies tak berpartai di dpr mpr ?! 4) jika prabowo gentle !! ungkap sirekap kpu ! jebloskan hasyim asyari dan para komisioner ke penjara. audit rekening nya. 5) jika prabowo gentle & ksatria, lakukan proses pilpres ulang dengan komite independen internasional & nasional. prabowo harus netral !! prabowo boleh ikut sebagai rival. sebelumnya reformasi total termasuk pt 0%. inshaa allah prabowo kan dikenang bp demokrasi indonesia. apkh hal ini akan tercapai ? jika tidak tercapai lebih baik nepalkan nkri !",C3,3
"prof renald top..jangan kadrun suka korupsi bansos, korupsi blbi, korupsi asabri, korupsi jiwasraya, kadrun mau ganti pancasila dengan komunis, suka oligarki..hidup prabowo",C3,3
